has_cost,fusion_id,sku_name_pb,sku_level_pb,sku_name,sku_level_osc,sku_category,sku_type,sku_cost,cost_currency,vendor,USD_MRC,USD_NRC,CAD_MRC,CAD_NRC,EUR_MRC,EUR_NRC,GBP_MRC,GBP_NRC
False,6003,/32 - Protected IP Range (1 Usable),Component,,,,,,,,,,50.0,0.0,,,,
False,5206,/32 IPv4 block (1 usable address)for NS,Component,,,,,,,,4.0,0.0,6.0,0.0,,,3.0,0.0
False,4921,/32 IPv4 block (1 usable addresses),Component,,,,,,,,,,5.75,0.0,,,,
False,4434,/48 IPv6 Block,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,4424,/48 IPv6 block,Component,,,,,,,,0.0,0.0,,,,,,
False,5937,/48 IPv6 block for NS,Component,,,,,,,,0.0,100.0,0.0,100.0,,,0.0,100.0
False,4241,/64 IPv6 Block,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,4450,/64 IPv6 block,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,5753,/64 IPv6 block for NS,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,1976,0 to 250GB - Avg. sustained (Committed),Component,,,,,,,,212.5,0.0,212.5,0.0,,,,
False,1982,0 to 250GB - Avg. sustained (No commitment),Component,,,,,,,,300.0,0.0,300.0,0.0,,,,
False,1977,0 to 500GB - Avg. sustained (Committed),Component,,,,,,,,425.0,0.0,425.0,0.0,,,,
False,1983,0 to 500GB - Avg. sustained (No commitment),Component,,,,,,,,600.0,0.0,600.0,0.0,,,,
False,4251,1 Additional Hour Block,Component,,,,,,,,120.0,0.0,160.0,0.0,,,100.0,0.0
False,1642,1 Basic 2010 Mailbox,Component,,,,,,,,4.0,0.0,4.5,0.0,,,3.0,0.0
False,1414,1 Basic Mailbox 1 GB Storage Included,Component,,,,,,,,5.0,0.0,8.0,0.0,,,3.0,0.0
False,766,1 GB,Component,,,,,,,,0.0,0.0,,,,,,
False,913,1 GB,Component,,,,,,,,0.0,0.0,,,,,0.0,0.0
False,937,1 GB,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,1900,1 GB 1333 Mhz DDR3 ECC DIMM,Component,,,,,,,,0.0,60.0,,,,,,
False,4132,1 GB Log vol./day + Log Review Service,Component,,,,,,,,2200.0,0.0,2970.0,0.0,,,1716.0,0.0
False,2629,1 GB RAM,Component,,,,,,,,,,,,,,0.0,0.0
False,5404,1 GBPS Access - VDC/SC,Component,,,,,,,,,,0.0,0.0,,,,
False,5324,1 Gbps Shared Switch Port - VDC/SC/DC,Component,,,,,,,,,,15.0,0.0,,,,
False,2820,1 Gbps Sustained Throughput for LB,Component,,,,,,,,450.0,0.0,450.0,0.0,,,281.25,0.0
False,3646,1 Gbps incoming traffic commit on demand,Component,,,,,,,,0.0,2000.0,0.0,2700.0,,,0.0,1700.0
False,5208,1 GigE - HA Dedicated Internet Access - VRRP (Off Net),Component,,,,,,,,338.0,0.0,449.0,0.0,,,260.0,0.0
False,5207,1 GigE - HA Dedicated Internet Access - VRRP (On Net),Component,,,,,,,,338.0,0.0,449.0,0.0,,,260.0,0.0
False,4999,1 GigE - High Availability Dedicated Internet Access - VRRP,Component,,,,,,,,,,0.0,500.0,,,,
False,1057,1 GigE - POP Access Port,TLS,,,,,,,,200.0,0.0,250.0,0.0,,,150.0,0.0
False,1187,1 GigE - POP Access Port Copper (Off Net),TLS,,,,,,,,5000.0,0.0,5000.0,0.0,,,5000.0,0.0
False,1188,1 GigE - POP Access Port Copper (On Net),TLS,,,,,,,,169.0,0.0,270.0,0.0,,,130.0,0.0
False,1151,1 GigE - POP Access Port Fiber (Off Net),TLS,,,,,,,,5000.0,0.0,5000.0,0.0,,,500.0,0.0
False,1152,1 GigE - POP Access Port Fiber (On Net),TLS,,,,,,,,169.0,0.0,270.0,0.0,,,130.0,0.0
False,1081,1 GigE - Primary Access Port,TLS,,,,,,,,,,350.0,0.0,,,,
False,6182,1 GigE - Redundant MPLS Router Connection (On Net),Component,,,,,,,,338.0,0.0,449.0,0.0,,,260.0,0.0
False,3609,1 Hour Smart Hands (After Hours),Component,,,,,,,,62.5,0.0,62.5,0.0,,,50.0,0.0
False,3608,1 Hour Smart Hands (Mon - Fri 9:00 - 5:00),Component,,,,,,,,37.5,0.0,37.5,0.0,,,25.0,0.0
False,2001,1 Hr Remote Hands (After hours) 15 min increments,Component,,,,,,,,0.0,250.0,0.0,250.0,,,0.0,200.0
False,2000,1 Hr Remote Hands (Mon - Fri 9:00 - 5:00) 15 min increments,Component,,,,,,,,0.0,150.0,0.0,150.0,,,0.0,100.0
False,771,1 IP Address,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,1039,1 IP Address,Component,,,,,,,,0.0,0.0,,,,,,
False,2259,1 Mbps Bandwidth,Component,,,,,,,,,,,,,,0.0,0.0
False,1674,1 Plesk Virtuozzo Domain - Linux,Component,,,,,,,,18.9,0.0,21.75,0.0,,,11.75,0.0
False,1220,1 Professional 2007 Mailbox,Component,,,,,,,,10.0,0.0,11.5,0.0,,,8.0,0.0
False,1641,1 Professional 2010 Mailbox,Component,,,,,,,,10.0,0.0,11.5,0.0,,,8.0,0.0
False,5310,1 Public IP - VDC/SC,Component,,,,,,,,,,0.5,0.0,,,,
False,952,1 Shelf [6 Slots],Component,,,,,,,,329.0,0.0,329.0,0.0,,,,
False,899,1 TB,Component,,,,,,,,50.0,0.0,0.0,0.0,,,0.0,0.0
False,5448,1 TB -  SW Subscription – 2 years,Component,,,,,,,,40.0,0.0,50.0,0.0,,,30.0,0.0
False,747,1 TB 7.2K NL-SAS,Component,,,,,,,,105.0,0.0,135.0,0.0,,,80.0,0.0
False,1908,1 TB 7.2K Near-Line SAS,Component,,,,,,,,50.0,0.0,75.0,0.0,,,50.0,0.0
False,3588,1 TB 7.2K Near-Line SAS for Dell MD,Component,,,,,,,,75.0,0.0,,,,,,
False,1340,1 TB 7200 3 Gb/s 3.5 Inch SATA,Component,,,,,,,,,,0.0,1.25,,,0.0,0.65
False,1793,1 TB 7200 3 Gb/s 3.5 Inch SATA,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,1293,1 TB 7200 6 Gb/s  SAS,Component,,,,,,,,39.99,0.0,39.99,0.0,,,20.99,0.0
False,1699,1 TB 7200 6 Gb/s 2.5 Inch SAS,Component,,,,,,,,20.0,0.0,51.0,0.0,,,32.0,0.0
False,1580,1 TB 7200k  6 Gbps Near line SAS 3.5 inch for Dell,Component,,,,,,,,60.0,0.0,60.0,0.0,,,,
False,1779,1 TB 7200k SAS 3.5 inch for Dell,Component,,,,,,,,30.0,0.0,,,,,,
False,318,1 TB Bandwidth Included with Host Plan,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,691,1 TB SATA,Component,,,,,,,,0.0,0.0,21.0,0.0,,,11.0,0.0
False,2898,1 TB SSD Crucial M550 drive,Component,,,,,,,,,,150.0,0.0,,,,
False,4968,1 TB Veeam Storage,Component,,,,,,,,76.0,0.0,100.0,0.0,,,58.0,0.0
False,310,1 U Chassis,Component,,,,,,,,0.0,0.0,,,,,,
False,877,1 U Supermicro Chassis,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,1019,1 U chassis,Component,,,,,,,,0.0,0.0,,,,,,
False,5773,1 Year Dell Support on MD3820,Component,,,,,,,,,,0.0,1750.0,,,,
False,2044,1 Yr. IDP Updates,Component,,,,,,,,0.0,0.0,0.0,0.0,,,,
False,359,1 gb RAM,Component,,,,,,,,25.0,129.0,,,,,,
False,362,1 gb RAM,Component,,,,,,,,16.0,39.0,,,,,,
False,365,1 gb RAM,Component,,,,,,,,8.0,39.0,8.0,39.0,,,,
False,432,1 st VIP for Load Balancer,Component,,,,,,,,,,,,,,70.0,0.0
False,5400,1 vCPU - VDC/SC,Component,,,,,,,,,,6.5,0.0,,,,
False,3780,1 x IPv6 Address,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,3457,1.2 TB Intel S3710 SSD,Component,,,,,,,,240.0,0.0,310.0,0.0,,,180.0,0.0
False,3764,1.2 TB SSD,Component,,,,,,,,,,,,,,600.0,0.0
False,2193,1.5 GB RAM,Component,,,,,,,,,,,,,,0.0,0.0
False,2433,1.5 TB,Component,,,,,,,,,,,,,,0.0,0.0
False,3382,1.6 TB SSD Intel 3700,Component,,,,,,,,950.0,0.0,1282.5,0.0,,,0.0,0.0
False,426,1.7 GHz Celeron Processor,Component,,,,,,,,0.0,0.0,,,,,,
False,3397,1.8 TB 10K 2.5 Inch SAS,Component,,,,,,,,57.0,0.0,0.0,0.0,,,43.0,0.0
False,3350,1.8 TB 10K SAS,Component,,,,,,,,0.0,0.0,0.0,0.0,,,,
False,594,1.86 GHz 440 Celeron Processor,Component,,,,,,,,,,,,,,0.0,0.0
False,4135,1.9 TB SAS RI 12 Gb/s SSD for Dell,Component,,,,,,,,350.0,0.0,450.0,0.0,,,270.0,0.0
False,6391,1.92 TB SSD NVMe,Component,,,,,,,,475.0,0.0,695.0,0.0,,,400.0,0.0
False,436,1/2 Hour Support,Component,,,,,,,,0.0,75.0,0.0,75.0,,,0.0,50.0
False,1645,10 Basic 2010 Mailboxes,Component,,,,,,,,40.0,0.0,45.0,0.0,,,30.0,0.0
False,1158,10 Basic Mailbox 10 GB Storage Included,Component,,,,,,,,50.0,0.0,75.0,0.0,,,30.0,0.0
False,4245,10 Concurrent Users using NCP Secure Entry,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,1532,"10 Domain Pkg, 50 Resource Record, 1M DNS Queries",Component,,,,,,,,150.0,0.0,150.0,0.0,,,100.0,0.0
False,2434,10 GB,Component,,,,,,,,,,,,,,0.0,0.0
False,2252,10 GB Bandwidth Block,Component,,,,,,,,,,,,,,0.0,0.0
False,676,10 Gb FTP Backup - Manual Provisioning,Component,,,,,,,,10.0,0.0,10.0,0.0,,,10.0,0.0
False,3083,10 GbE Connection,Component,,,,,,,,0.0,0.0,45.0,0.0,,,25.0,0.0
False,4482,10 GbE Connection (Included),Component,,,,,,,,0.0,0.0,,,,,,
False,5422,10 Gbps Shared Switch Port - VDC/SC/DC,Component,,,,,,,,,,25.0,0.0,,,,
False,5399,10 GiB Aptum Storage - VDC/SC,Component,,,,,,,,,,3.5,0.0,,,,
False,5267,10 GigE - HA Dedicated Internet Access - VRRP (Off Net),Component,,,,,,,,473.0,0.0,629.0,0.0,,,364.0,0.0
False,5266,10 GigE - HA Dedicated Internet Access - VRRP (On Net),Component,,,,,,,,473.0,0.0,629.0,0.0,,,364.0,0.0
False,5000,10 GigE - High Availability Dedicated Internet Access - VRRP,Component,,,,,,,,,,0.0,500.0,,,,
False,1058,10 GigE - POP Access Port,TLS,,,,,,,,300.0,0.0,350.0,0.0,,,200.0,0.0
False,1185,10 GigE - POP Access Port Copper (Off Net),TLS,,,,,,,,5000.0,0.0,5000.0,0.0,,,5000.0,0.0
False,1186,10 GigE - POP Access Port Copper (On Net),TLS,,,,,,,,338.0,0.0,629.0,0.0,,,260.0,0.0
False,1153,10 GigE - POP Access Port Fiber (Off Net),TLS,,,,,,,,5000.0,0.0,5000.0,0.0,,,5000.0,0.0
False,1154,10 GigE - POP Access Port Fiber (On Net),TLS,,,,,,,,338.0,0.0,629.0,0.0,,,260.0,0.0
False,1079,10 GigE - Primary Access Port,TLS,,,,,,,,,,435.0,0.0,,,,
False,3,10 Mbit Connection,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,754,10 Mbit/s Unlimited Bandwidth,Component,,,,,,,,,,,,,,75.0,0.0
False,1155,10 Mbps - POP Access Port Fiber (Off Net),TLS,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,3781,10 Mbps Bandwidth,Component,,,,,,,,121.9,0.0,,,,,,
False,4933,10 Mbps Clean Traffic Commit,Component,,,,,,,,100.0,0.0,100.0,0.0,,,80.0,0.0
False,4951,10 Mbps Clean Traffic Commit,Component,,,,,,,,100.0,0.0,130.0,0.0,,,80.0,0.0
False,2816,10 Mbps Sustained Throughput,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,2818,10 Mbps Sustained Throughput for LB,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,767,10 Mbps Unmetered,Component,,,,,,,,,,,,,,100.0,0.0
False,907,10 Mbps Unmetered,Component,,,,,,,,200.0,0.0,200.0,0.0,,,100.0,0.0
False,3648,10 Mbps incoming traffic commit,Component,,,,,,,,121.9,0.0,162.5,0.0,,,81.3,0.0
False,3640,10 Mbps incoming traffic commit on demand,Component,,,,,,,,0.0,121.9,0.0,162.5,,,0.0,81.3
False,1080,10 Mbps- Primary Access Port,TLS,,,,,,,,,,250.0,0.0,,,,
False,1677,10 Plesk Virtuozzo Domain - Linux,Component,,,,,,,,94.5,0.0,108.75,0.0,,,59.0,0.0
False,1146,10 Professional 2007 Mailboxes,Component,,,,,,,,100.0,0.0,115.0,0.0,,,80.0,0.0
False,1637,10 Professional 2010 Mailboxes,Component,,,,,,,,100.0,0.0,115.0,0.0,,,80.0,0.0
False,906,10 TB (10000 GB) Bandwidth,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,5449,10 TB 7.2K NL-SAS,Component,,,,,,,,95.0,0.0,70.0,0.0,,,70.0,0.0
False,5962,10 TB 7200 SATA HDD for NETAPP,Component,,,,,,,,140.0,0.0,150.0,0.0,,,100.0,0.0
False,4893,10 TB Included,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
